ClientID,ClientName,LocationID,PhoneNumber,Email,created_at
1,D'Amore - Price,12,(393) 711-8615 x540,Magdalen85@gmail.com,
2,Hayes - Lockman,23,1-523-255-7957 x27844,Fausto67@hotmail.com,
3,"Haley, Ferry and Walsh",2,1-420-407-7368,Easter_Okuneva@hotmail.com,
4,"Thompson, Fahey and Pfannerstill",23,(452) 954-4714 x39982,Colten90@gmail.com,
5,Jacobson Group,14,423.478.8447 x855,Nella.Conn@gmail.com,
6,"Simonis, Lemke and Monahan",12,(825) 665-4681,Maureen83@gmail.com,
7,Terry Inc,1,1-448-533-3320 x07814,Oran_Schumm84@gmail.com,
8,Ward and Sons,28,1-368-705-5830,Oma32@yahoo.com,
9,Weimann Group,4,(338) 225-3389 x09246,Haylie.Ullrich93@yahoo.com,
10,"Parisian, Feil and Murazik",20,428.562.6964 x87460,Gerry_Kuhic88@hotmail.com,
11,Schulist - Heidenreich,26,1-703-486-0463 x686,Meaghan.Dach-Goodwin@gmail.com,
12,Greenholt Inc,24,308.652.1745,Jazmyne.Parisian87@gmail.com,
13,Schimmel Group,11,900.759.9955,Reta6@hotmail.com,
14,"Armstrong, Herman and Schmidt",24,(410) 524-0110 x04906,Katlyn_McKenzie@gmail.com,
15,Huels - Larkin,28,492-844-7759 x5744,Elena64@yahoo.com,
16,"Hahn, McGlynn and Kemmer",22,(812) 675-8940,Jed_Walker@gmail.com,
17,Mraz - Halvorson,19,(658) 974-6338 x8309,Rickey.Oberbrunner@yahoo.com,
18,Dibbert - Cronin,25,824-826-9283,Layne_Stehr39@hotmail.com,
19,Grimes - Durgan,23,334-451-9468,Carmine.Heidenreich@gmail.com,
20,Fritsch - Murphy,14,1-403-654-8181 x936,Felix.Ziemann49@gmail.com,
